Schama,Tables_Name,Persona,Note
academic,"[author, conference, domain, domain_author, domain_conference, journal, domain_journal, keyword, domain_keyword, publication, domain_publication, organization, publication_keyword, writes, cite]",Bibliotecário Acadêmico,Não temos daddos de exemplo na tabela
activity_1,"[Activity, Participates_in, Faculty_Participates_in, Student, Faculty]",Coordenador de um curso universitario,
aircraft,"[pilot, aircraft, match, airport, airport_aircraft]",Organizador de eventos esportivos áreos;,
allergy_1,"[Student, Has_Allergy, Allergy_Type]",Coordenador de Alojamento,
apartment_rentals,"[Apartment_Buildings, Apartments, Apartment_Facilities, Guests, Apartment_Bookings, View_Unit_Status]",Gerente de Propriedades Imobiliárias,
architecture,"[architect, bridge, mill]",Curador de Patrimônio Cultural e Natural,
assets_maintenance,"[Assets, Fault_Log, Maintenance_Contracts, Engineer_Visits]",Gerente de Operações de Manutenção e Ativos,
baseball_1,"[all_star, appearances, manager_award, player_award, manager_award_vote, player_award_vote, batting, batting_postseason, player_college, fielding, fielding_outfield, fielding_postseason, hall_of_fame, home_game, manager, manager_half, player, park, pitching, salary, pitching_postseason, college, postseason, team, team_franchise, team_half]",Chefe da Major League Baseball ,26 tabelas
battle_death,"[battle, ship, death]",Historiador sobre guerras,
behavior_monitoring,"[Ref_Address_Types,Ref_Detention_Type, Ref_Incident_Type, Addresses, Students, Teachers, Assessment_Notes, Behavior_Incident, Detention, Student_Addresses, Students_in_Detention]",Diretor de um colegio,A tabela contem informações de renda sobre os alunos 'monthly_rental'
bike_1,"[station, status, trip, weather]",Empresa de emprestimo de bicicletas,
body_builder,"[body_builder, people]",Atletas em fisiculturismo,
book_2,"[publication, book]",Editora de livros,
browser_web,"[Web_client_accelerator, browser, accelerator_compatible_browser]",Administrador de redes,
candidate_poll,"[candidate, people]",Repoter sobre candituras,
car_1,"[continents, countries, car_makers, model_list, car_names, cars_data]",Revista automotiva,
chinook_1,"[Album, Artist, Customer, Employee, Genre, Invoice, InvoiceLine, MediaType, Playlist, PlaylistTrack, Track]",Atendente de uma loja de musica,Não tem o schema.sql apenas a conexão
cinema,"[film, cinema, schedule]",bilheteiros,
city_record,"[city, match, temperature, hosting_city]",Jornalista Esportivo,
climbing,,,
club_1,,,
coffee_shop,,,
college_1,,,
college_2,,,
college_3,,,
company_1,,,
company_employee,,,
company_office,,,
concert_singer,,,
county_public_safety,,,
course_teach;,,,
cre_Doc_Control_Systems,,,
cre_Docs_and_Epenses,,,
cre_Doc_Template_Mgt,,,
cre_Doc_Tracking_DB,,,
cre_Drama_Workshop_Groups,,,
cre_Theme_park;,,,
csu_1,,,
culture_company,,,
customer_complaints,,,
customer_deliveries,,,
customers_and_addresses,,,
customers_and_invoices,,,
customers_and_products_contacts,,,
customers_campaigns_ecommerce,,,
customers_card_transactions,,,
debate,,,
decoration_competition,,,
department_management,,,
department_store,,,
device,,,
document_management,,,
dog_kennels,,,
dorm_1,,,
driving_school,,,
e_government,,,
e_learning,,,
election,,,
election_representative,,,
employee_hire_evaluation,,,
entertainment_awards,,,
entrepreneur,,,
epinions_1,,,
farm,,,
film_rank,,,
flight_1;,,,
flight_2,,,
flight_4,,,
flight_company,,,
formula_1,,,
game_1,,,
game_injury,,,
gas_company,,,
geo,,,
gymnast,,,
hospital_1,,,
hr_1,,,
icfp_1,,,
imdb,,,
inn_1,,,
insurance_and_eClaims,,,
insurance_fnol,,,
insurance_policies,,,
journal_committee,,,
loan_1,,,
local_govt_and_lot,,,
local_govt_in_alabama,,,
local_govt_mdm,,,
machine_repair,,,
manufactory_1,,,
manufacturer,,,
match_season,,,
medicine_enzyme_interaction,,,
mountain_photos,,,
movie_1,,,
museum_visit,,,
music_1,,,
music_2,,,
music_4,,,
musical,,,
network_1,,,
network_2,,,
news_report,,,
orchestra,,,
party_host,,,
party_people,,,
performance_attendance,,,
perpetrator,,,
pets_1,,,
phone_1,,,
phone_market,,,
pilot_record,,,
poker_player,,,
product_catalog,,,
products_for_hire,,,
products_gen_characteristics,,,
program_share,,,
protein_institute,,,
race_track,,,
railway,,,
real_estate_properties,,,
restaurant_1,,,
restaurants,,,
riding_club,,,
roller_coaster,,,
sakila_1,,,
scholar,,,
school_bus,,,
school_finance,,,
school_player,,,
scientist_1,,,
ship_1,,,
ship_mission,,,
shop_membership,,,
singer,,,
small_bank_1,,,
soccer_1,,,
soccer_2,,,
solvency_ii,,,
sports_competition,,,
station_weather,,,
store_1,,,
store_product,,,
storm_record,,,
student_1,,,
student_assessment,,,
student_transcripts_tracking,,,
swimming,,,
theme_gallery,,,
tracking_grants_for_research,,,
tracking_orders,,,
tracking_share_transactions,,,
tracking_software_problems,,,
train_station,,,
tvshow,,,
twitter_1,,,
university_basketball,,,
voter_1,,,
voter_2,,,
wedding,,,
wine_1,,,
workshop_paper,,,
world_1,,,
wrestler,,,
wta_1,,,
yelp,,,